Population ,Ancestry ,Chromosome ,Start (hg18) ,Stop (hg18) ,Band ,Size (bp) ,Position of peak ,Estimate ,P value ,Adjusted mean cases ,Adjusted mean control subjects ,Estimate other population ,P value other population ,Genes 
MX ,African ,13,62301884,62818944,13q21.31 ,517060,62507470,-0.65,0.000704,1.03,1.95,NA ,1,NA 
MX ,Native ,14,42232954,42505445,14q21.2 ,272491,42297072,-0.54,0.000409,0.7,0.95,-0.36,0.265,NA 
MX ,European ,14,58564897,58644385,14q23.1 ,79488,58620967,-0.8,0.00095,0.73,0.97,NA ,1,NA 
MX ,Native ,18,6243260,7386574,18q11.31-11.23 ,1143314,6603585,0.69,0.000801,1.06,0.8,0.25,0.497,"ARHGAP28, L3MBTL4, LAMA1, LOC400643, LRRC30, MIR4317 "
MX ,European ,18,40528480,41543866,18q12.3 ,1015386,41029219,-0.7,0.000359,0.92,1.22,-0.58,0.0408,"MIR4319, SETBP1, SLC14A2 "
MX ,African ,21,29729870,30059808,21q21.3 ,329938,29765240,1.2,6.94E-05,2.16,0.86,0.12,0.696,"GRIK1, GRIK1-AS, NCRNA00258 "
PR ,Native ,1,115534231,115820648,1p13.2 ,286417,115637023,0.83,0.000507,1.35,0.83,0.33,0.336,NGF 
PR ,Native ,1,118053780,118451363,1p12 ,397583,118083417,0.69,0.000333,2.09,1.43,0.02,0.945,"GDAP2, SPAG17, WDR3 "
PR ,Native ,2,130669841,132948884,2q21.1-21.2 ,2279043,132187075,-0.88,0.00061,0.76,1.21,-0.37,0.254,"ANKRD30BL, ARHGEF4, C2orf14, C2orf27A, C2orf27B, CCDC115, CCDC74A, CFC1, CFC1B, FAM123C, FAM168B, GPR148, GPR39, IMP4, LOC150527, LOC150776, LOC150786, LOC389043, LOC401010, LOC440910, LOC646743, MIR663B, MZT2A, PLEKHB2, POTEE, POTEKP, PTPN18, TUBA3D, TUBA3E "
PR ,African ,4,47528052,52630202,4p12-p11-q11-q12 ,5102150,48294037,0.82,0.000129,1.32,0.81,0.76,0.245,"CNGA1, CORIN, CWH43, DCUN1D4, FRYL, LRRC66, NFXL1, NIPAL1, OCIAD1, OCIAD2, SGCB, SLAIN2, SLC10A4, SPATA18, TEC, TXK, ZAR1 "
PR ,African ,4,71085620,71478030,4q13.3 ,392410,71269352,0.51,0.000678,1.35,0.89,0.2,0.761,"AMTN, C4orf35, C4orf7, CSN3, MUC7, ODAM, PROL1, SMR3A, SMR3B "
PR ,European ,4,84701659,85309961,4q21.23 ,608302,85029487,-0.64,0.000302,0.87,1.07,-0.21,0.48,AGPAT9 
PR ,Native ,5,926798,3303352,5p15.33 ,2376554,2741597,0.93,6.17E-05,1,0.5,NA ,1,"BDP1, BRD9, C5orf38, CARTPT, CLPTM1L, GTF2H2, GTF2H2B, GTF2H2C, GTF2H2D, IRX2, IRX4, LOC100049076, LOC100170939, LOC100272216, LOC647859, LOC728613, LPCAT1, MCCC2, MIR4277, MRPL36, NAIP, NDUFS6, NKD2, OCLN, PMCHL2, SDHAP3, SLC12A7, SLC6A18, SLC6A19, SLC6A3, SMA5, TERT, TRIP13 "
PR ,European ,5,123194325,123848351,5q23.2 ,654026,123307942,-0.74,0.000569,0.91,1.1,NA ,1,NA 
PR ,Native ,5,137726198,138846276,5q31.2 ,1120078,138478148,-0.75,0.000692,1.28,1.89,-0.65,0.0346,"CTNNA1, DNAJC18, ECSCR, EGR1, ETF1, HSPA9, KDM3B, LOC389333, LRRTM2, MATR3, MGC29506, PAIP2, REEP2, SIL1, SLC23A1, SNHG4, SNORA74A, SNORD63, SPATA24, TMEM173 "
PR ,Native ,5,158663429,159510391,5q33.3 ,846962,159023425,0.95,0.000645,1.18,0.7,NA ,1,"ADRA1B, IL12B, LOC285627, MIR548D2, PWWP2A, TTC1 "
PR ,African ,6,78131890,78936231,6q14.1 ,804341,78172987,0.77,0.000154,1.29,0.78,0.76,0.102,HTR1B 
PR ,African ,6,82242875,82612008,6q14.1 ,369133,82447679,0.79,0.00046,1.04,0.61,0.32,0.506,FAM46A 
PR ,Native ,7,55094492,55655594,7p11.2 ,561102,55297839,-0.79,0.0005,0.87,1.38,-0.28,0.348,"EGFR, LANCL2, VOPP1 "
PR ,Native ,7,112165439,112916150,7q31.1 ,750711,112415609,0.99,0.000855,1.05,0.62,0.36,0.227,"C7orf60, GPR85, LOC401397, TMEM168 "
PR ,European ,8,5032120,5130073,8p23.2 ,97953,5045628,0.65,0.000652,0.97,0.78,NA ,1,NA 
PR ,African ,8,30141649,32626887,8p12 ,2485238,30284710,-0.84,0.000448,0.77,1.2,-1.17,0.0334,"DCTN6, RBPMS, NRG1, PURG, WRN "
PR ,Native ,8,56598023,59222829,8q12.1 ,2624806,57696529,0.77,8.67E-05,1.36,0.77,0.33,0.257,"C8orf71, CHCHD7, FAM110B, IMPAD1, LYN, MOS, PENK, PLAG1, RPS20, SDR16C5, SNORD54, TGS1, TMEM68, XKR4 "
PR ,African ,8,58568817,58985156,8q12.1 ,416339,58781609,-0.84,0.000233,0.85,1.3,-0.01,0.993,NA 
PR ,African ,12,40446358,40709402,12q12 ,263044,40505464,0.77,0.000814,1.74,1.24,NA ,1,NA 
PR ,Native ,12,65099099,65267538,12q14.3 ,168439,65118869,-0.82,0.000714,1.05,1.57,NA ,1,GRIP1 
PR ,Native ,13,39695477,41151351,13q14.11 ,1455874,40084501,-0.79,0.000701,0.58,1.01,-0.41,0.199,"C13orf15, ELF1, FOXO1, KBTBD6, KBTBD7, KIAA0564, LOC646982, MIR320D1, MIR621, MRPS31, MTRF1, NAA16, OR7E37P, SLC25A15, SUGT1P3, WBP4 "
PR ,African ,13,92395800,92598115,13q31.3 ,202315,92441215,-0.85,0.000847,0.88,1.27,-0.83,0.142,NA 
PR ,European ,16,30990744,32390507,16p11.2 ,1399763,31757800,-0.04,0.000577,0.83,1.04,NA ,1,"AHSP, ARMC5, BCKDK, C16orf58, COX6A2, CSDAP1, FUS, HERC2P4, ITGAD, ITGAM, ITGAX, KIAA0664L3, LOC390705, MYST1, PRSS36, PRSS53, PRSS8, PYCARD, PYDC1, SLC5A2, TGFB1I1, TRIM72, VKORC1, ZNF267, ZNF646, ZNF668, ZNF720, ZNF843 "
PR ,European ,17,68856659,69650934,17q25.1 ,794275,68997372,-0.74,0.000452,1.04,1.22,NA ,1,"C17orf54, SDK2 "
PR ,European ,18,48763478,49407236,18q21.2 ,643758,49204920,-0.62,0.000104,0.61,0.83,-0.38,0.241,DCC 
PR ,European ,18,53095273,53242291,18q21.31 ,147018,53182320,-0.67,0.000687,0.97,1.15,NA ,1,ST8SIA3 
PR ,European ,20,31073726,31531223,20q11.21-q11.22 ,457497,31164994,0.69,0.000105,0.91,0.69,0.27,0.339,"BASE, BPIL1, BPIL3, C20orf114, C20orf185, C20orf186, C20orf70, C20orf71, CDK5RAP1, PLUNC, SNTA1 "
PR ,African ,20,37382469,38758602,20q12 ,1376133,38138564,-0.91,0.000244,0.75,1.19,-0.61,0.206,MAFB 
PR ,Native ,22,46384494,46768144,22q13.31 ,383650,46561223,0.95,5.98E-05,1.06,0.48,0.76,0.0161,FLJ46257 
